2024-01-02 20:01:103 INFO  ManageBrowser :31 - launching chrome browser
2024-01-02 20:01:271 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 20:01:312 INFO  HomePage :118 - Clicking on header option Signup/Login : [[ChromeDriver: chrome on windows (ba8b69124106346598f7f0715c4a838b)] -> xpath: //a[normalize-space()='Signup / Login']]
2024-01-02 20:01:571 INFO  HomePage :58 - Getting text as Login to your account : [[ChromeDriver: chrome on windows (ba8b69124106346598f7f0715c4a838b)] -> xpath: //h2[normalize-space()='Login to your account']]
2024-01-02 20:01:690 INFO  HomePage :80 - Sending data to Email Address Field in Login : [[ChromeDriver: chrome on windows (ba8b69124106346598f7f0715c4a838b)] -> xpath: //input[@data-qa='login-email']]
2024-01-02 20:01:750 INFO  HomePage :82 - Sending data to Password Field in Login : [[ChromeDriver: chrome on windows (ba8b69124106346598f7f0715c4a838b)] -> xpath: //input[@placeholder='Password']]
2024-01-02 20:01:799 INFO  HomePage :88 - Clicking on Login button : [[ChromeDriver: chrome on windows (ba8b69124106346598f7f0715c4a838b)] -> xpath: //button[normalize-space()='Login']]
2024-01-02 20:01:817 INFO  HomePage :169 - Getting text from login page : [[ChromeDriver: chrome on windows (ba8b69124106346598f7f0715c4a838b)] -> xpath: //li[10]//a[1]]
2024-01-02 20:01:979 INFO  ManageBrowser :31 - launching chrome browser
2024-01-02 20:01:508 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 20:01:536 INFO  HomePage :118 - Clicking on header option Signup/Login : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //a[normalize-space()='Signup / Login']]
2024-01-02 20:01:141 INFO  HomePage :58 - Getting text as Login to your account : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //h2[normalize-space()='Login to your account']]
2024-01-02 20:01:311 INFO  HomePage :80 - Sending data to Email Address Field in Login : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //input[@data-qa='login-email']]
2024-01-02 20:01:367 INFO  HomePage :82 - Sending data to Password Field in Login : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //input[@placeholder='Password']]
2024-01-02 20:01:96 INFO  HomePage :88 - Clicking on Login button : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //button[normalize-space()='Login']]
2024-01-02 20:01:121 INFO  HomePage :169 - Getting text from login page : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //li[10]//a[1]]
2024-01-02 20:01:157 INFO  HomePage :128 - Clicking on header option Logout : [[ChromeDriver: chrome on windows (0fbfa1e883d438f52daec2b9c4a75f9f)] -> xpath: //a[normalize-space()='Logout']]
2024-01-02 20:01:840 INFO  HomePage :113 - Getting Login Page URL 
2024-01-02 20:01:991 INFO  ManageBrowser :31 - launching chrome browser
2024-01-02 20:01:452 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 20:01:478 INFO  HomePage :148 - Clicking on header option Product : [[ChromeDriver: chrome on windows (9aa51f9e50526a6662db1575388a3901)] -> xpath: //a[@href='/products']]
2024-01-02 20:01:18 INFO  ProductPage :101 - Getting all product text[[ChromeDriver: chrome on windows (9aa51f9e50526a6662db1575388a3901)] -> xpath: //h2[normalize-space()='All Products']]
2024-01-02 20:01:591 INFO  ManageBrowser :31 - launching chrome browser
2024-01-02 20:01:123 INFO  HomePage :112 - Getting Home Page URL : 
2024-01-02 20:01:154 INFO  HomePage :148 - Clicking on header option Product : [[ChromeDriver: chrome on windows (7a078678a37ef09b5705630fa46abfa6)] -> xpath: //a[@href='/products']]
